ports,MC,degree,eigenvector,betweenness,ISO3
578,0,7,0.00162147,0,ESP
579,0,7,0.00110798,0,CPV
580,93.5,8,0.001117167,1.63285E-05,CPV
581,0,6,0.006826922,0,USA
582,33579.5,46,0.031470871,0.001096659,PNG
583,29133.5,43,0.030303954,0.001020937,PNG
584,45662.83333,51,0.030525545,0.00442592,SLB
585,7664.833333,30,0.021437227,3.1296E-05,VUT
586,15518.83333,35,0.023715005,0.001304856,NZL
587,9513.5,29,0.018823541,8.94631E-05,MHL
588,4145,22,0.013182954,0.001111139,KIR
589,27429.66667,42,0.025606836,0.003735991,FJI
590,5186.833333,26,0.016898301,0.000202942,TON
591,1017.333333,18,0.012703198,3.0595E-06,NCL
592,2072,21,0.01439486,5.55793E-06,VUT
593,0,9,0.00679961,0,JPN
594,2807.5,17,0.012938808,4.55927E-05,FSM
595,12683.66667,29,0.021007026,0.000587554,PNG
596,16217,32,0.024944215,0.00072438,AUS
597,3071.833333,18,0.012306625,5.81671E-05,MNP
598,249.6666667,12,0.006577257,1.79797E-06,MHL
599,249.6666667,12,0.006577257,1.79797E-06,MHL
600,1891.666667,18,0.012561832,3.34111E-05,FSM
601,1891.666667,18,0.012561832,3.34111E-05,FSM
602,0,11,0.006375795,0,FSM
603,53259,61,0.044141528,0.000358032,JPN
604,66951,71,0.048697739,0.000463759,JPN
605,84366.33333,67,0.045043867,0.009605524,PHL
606,59290.66667,68,0.044766087,0.000365522,JPN
607,23275.83333,43,0.02950118,0.00012034,JPN
608,20119.5,43,0.038376983,0.000333921,MYS
609,6797,27,0.024357193,5.20592E-05,CHN
610,10362.33333,35,0.034254509,5.93082E-05,VNM
611,89637.83333,76,0.051678434,0.002238294,VNM
612,35889.33333,59,0.047711731,0.000259074,CHN
613,13798.5,38,0.038049283,0.000125463,MYS
614,954.5,17,0.01611332,1.02026E-05,MYS
615,81348.66667,63,0.040359724,0.011617816,IDN
616,25231.5,38,0.031281359,0.002423917,IDN
617,26534.5,50,0.040933618,0.000244408,THA
618,23635,44,0.038346379,0.000206316,CHN
619,18362.5,42,0.034258948,0.000121974,CHN
620,14591.66667,39,0.027759227,0.000103284,JPN
621,7606.166667,33,0.024913568,3.32719E-05,CHN
622,21147.33333,52,0.028203252,0.000109033,JPN
623,5886.333333,37,0.023011276,2.2114E-05,JPN
624,44104.33333,65,0.037598046,0.000285441,JPN
625,22325,55,0.031547418,8.39575E-05,JPN
626,26597.33333,54,0.032558071,8.52234E-05,JPN
627,20838.33333,55,0.030424321,8.90734E-05,JPN
628,2420.333333,32,0.019521561,4.71423E-06,JPN
629,22087.5,53,0.030600339,8.30894E-05,JPN
630,14360.66667,49,0.026494694,9.50726E-05,JPN
631,13324.66667,47,0.028317568,4.63884E-05,JPN
632,2420.333333,32,0.019521561,4.71423E-06,JPN
633,1324.666667,32,0.019095827,2.76629E-06,JPN
634,25147.16667,54,0.032759699,0.000148191,JPN
635,6714.666667,39,0.023469906,5.27176E-05,JPN
636,14315,48,0.023240953,0.000112358,JPN
637,17421.83333,48,0.02904642,5.92844E-05,JPN
638,4725.333333,43,0.022038037,1.92416E-05,JPN
639,991.5,32,0.017329253,2.94932E-06,JPN
640,90821.5,78,0.0511877,0.000810187,KOR
641,0,23,0.014557785,0,KOR
642,15190.83333,42,0.031226825,5.52555E-05,JPN
643,1295.833333,25,0.016210902,4.08593E-06,JPN
644,14776.5,40,0.029554139,8.64719E-05,JPN
645,22876.83333,49,0.032792632,9.33935E-05,JPN
646,6397.833333,38,0.020783057,2.85561E-05,JPN
647,14443,38,0.031245815,3.76468E-05,JPN
648,13648.5,47,0.02352174,9.64916E-05,JPN
649,12132.5,44,0.024560796,5.78889E-05,JPN
650,2580.666667,18,0.018852778,8.41955E-06,KOR
651,0,10,0.009177254,0,KOR
652,0,23,0.014596713,0,JPN
653,3804,35,0.017866278,1.59808E-05,JPN
654,5107.333333,31,0.018379459,4.11185E-05,JPN
655,6741.333333,37,0.020590068,2.51364E-05,JPN
656,191.6666667,13,0.016176759,2.21748E-07,JPN
657,19877.16667,41,0.025939027,0.00045168,CHN
658,7964.833333,26,0.016507559,0.000202946,CHN
659,6772.666667,29,0.024300959,7.05563E-05,CHN
660,7115.166667,30,0.0249181,7.27708E-05,CHN
661,0,7,0.005780726,0,CHN
662,0,5,0.005223974,0,KOR
663,1598.833333,17,0.019935092,2.64628E-05,CHN
664,25432.66667,44,0.030994733,0.000649242,CHN
665,12184.5,33,0.023020243,0.000332365,CHN
666,2043.833333,21,0.018348537,8.28104E-06,CHN
667,1419.166667,19,0.016954163,4.22412E-06,CHN
668,0,10,0.008818104,0,CHN
669,7842.333333,28,0.021157728,4.83847E-05,CHN
670,4372.5,19,0.010695208,0.0001298,CHN
671,6410,23,0.024148863,0.001835329,RUS
672,13665.83333,31,0.027814485,0.002285713,RUS
673,25942.83333,45,0.031488868,0.000578701,CHN
674,16281.5,37,0.033119656,0.000128257,PHL
675,8759.666667,26,0.022415144,6.49138E-05,CHN
676,31845.33333,39,0.025539146,0.004912854,PHL
677,33293.16667,40,0.027655096,0.004744345,PHL
678,27555.83333,37,0.020598467,0.003330733,PHL
679,92130.16667,66,0.03889503,0.009042048,PHL
680,0,9,0.007624951,0,JPN
681,21552.5,38,0.02692347,0.000180097,KOR
682,0,20,0.008872255,0,KOR
683,0,20,0.008872255,0,JPN
684,1944,23,0.011830607,6.81067E-06,JPN
685,2807.666667,23,0.013631155,1.0857E-05,JPN
686,12245.16667,32,0.027788165,9.69314E-05,KOR
687,0,8,0.010250192,0,IND
688,13866.5,27,0.023907333,0.004897455,IND
689,8134.333333,21,0.019439641,0.004039477,IND
690,4172,21,0.021477747,9.30996E-05,IND
691,133.1666667,11,0.014688441,4.00731E-07,VNM
692,12207.16667,29,0.025582845,0.000337228,NZL
693,21459,42,0.03520118,0.000233652,CHN
694,2608,19,0.019498474,1.9864E-05,KOR
695,3800.666667,24,0.02630207,3.12344E-05,KHM
696,5597.666667,21,0.016464647,0.000123984,MYS
697,11323.5,28,0.023482903,0.000250083,MYS
698,0,11,0.010634515,0,MYS
699,0,11,0.010634515,0,MYS
700,14186.33333,31,0.027934819,0.001677271,PHL
701,874.5,15,0.012978383,2.00036E-06,JPN
702,2430.5,21,0.015556725,9.67787E-06,JPN
703,0,5,0.003119209,0,JPN
704,2376.166667,17,0.011477842,4.05183E-05,JPN
705,0,12,0.010628868,0,JPN
706,0,5,0.005359139,0,CHN
707,0,12,0.010339744,0,JPN
708,802,7,0.004863704,0.000390485,RUS
709,0,3,0.00420229,0,RUS
710,380.6666667,15,0.017447833,8.4502E-07,CHN
711,3133.166667,18,0.014444742,3.97841E-05,CHN
712,1365,12,0.011926342,1.29674E-05,CHN
713,227.8333333,9,0.005960469,1.20254E-06,CHN
714,8252.833333,30,0.017500565,0.000242092,CHN
715,4716.666667,23,0.013513076,0.000162179,CHN
716,993.5,22,0.015932556,5.60197E-06,CHN
717,0,12,0.003339747,0,CHN
718,1627,15,0.006340369,4.2642E-05,CHN
719,0,12,0.003339747,0,CHN
720,0,12,0.003339747,0,CHN
721,5887.833333,27,0.019924523,6.49613E-05,CHN
722,3284.333333,18,0.017898897,0.000140296,IND
723,8158.333333,25,0.018465937,0.000771701,AUS
724,0,10,0.011707769,0,AUS
725,233.8333333,13,0.014155074,1.67483E-06,VNM
726,18904.5,31,0.023350605,0.002003728,IRQ
727,0,9,0.012579991,0,QAT
728,0,8,0.006299439,0,PLW
729,345.8333333,12,0.016079375,7.73009E-07,BGD
730,1757.833333,15,0.015124533,2.2147E-05,MYS
731,4702.166667,19,0.017325922,0.000104563,BRN
732,0,9,0.004529635,0,JPN
733,0,5,0.003935946,0,JPN
734,0,5,0.003935946,0,JPN
735,492.5,13,0.012409023,1.70611E-06,VNM
736,1595.833333,18,0.017932593,1.12035E-05,CHN
737,6677.666667,19,0.00909959,0.001210148,IDN
738,3089.833333,17,0.017726323,6.66522E-05,MMR
739,0,5,0.004254768,0,MYS
740,0,8,0.005740438,0,CHN
741,55.66666667,8,0.00719441,4.18154E-07,THA
742,0,1,0.000572602,0,CHN
743,298.6666667,8,0.003060851,6.95837E-06,IRN
744,717.1666667,11,0.005505033,2.61067E-05,IND
745,0,6,0.004643722,0,QAT
746,34.33333333,6,0.00332871,1.47555E-06,IND
747,0,4,0.002628739,0,IND
748,0,7,0.007348318,0,MDV
