ISO3,R1_MLL,R2_MLL,R1,R2,R1_improve_rate,R2_improve_rate,number of domestic ports,number of international links
VNM,2.195500551,7.150607341,1.644039691,3.633945495,0.335430381,0.967725534,8,252
VUT,0.769788313,1.882265193,0.694315325,0.699767956,0.108701314,1.689841936,2,49
GBR,7.700979052,16.13805737,6.367336273,15.86785827,0.209450659,0.017028076,18,431
KOR,3.136377067,11.28098101,2.473959206,10.44304246,0.267756178,0.080238929,12,665
ESP,9.34598677,24.61371882,7.268455347,21.9935941,0.285828463,0.119131267,25,728
PYF,1.104108049,1.384070718,0.708276736,0.758192265,0.558865331,0.825487785,2,41
CUW,0.415680265,0.96583223,0.386070562,0.38657947,0.076695054,1.498405385,1,24
NIC,1.319135612,1.364439779,0.756409041,0.758135912,0.743944798,0.799729781,2,13
GEO,1.412893054,1.895814365,0.578740904,0.688512707,1.441322264,1.753492195,2,17
SLE,0.481036384,0.980727373,0.482652701,0.552778146,0,0.774178991,1,20
SYC,0.429412348,0.959750552,0.386198456,0.50164128,0.11189556,0.913220842,1,23
NIU,0.595929438,0.699151214,0.347157663,0.347322296,0.716595948,1.012975332,1,7
GRD,0.235501654,0.960924945,0.235858875,0.385550773,0,1.492343453,1,42
NAM,1.066441014,1.907474033,0.665410143,0.771776796,0.602682234,1.471535868,2,41
VEN,4.299428886,6.085828699,2.41013892,2.431893215,0.783892559,1.50250655,8,40
KEN,0.161521499,0.951687638,0.161186329,0.461149007,0.002079397,1.063731296,1,54
WLF,1.214906284,1.277756906,0.694315325,0.696276243,0.749790392,0.835129259,2,8
ASM,0.358973539,0.948666667,0.347157663,0.348121413,0.034036052,1.725102884,1,29
SEN,0.125689085,0.949983444,0.125113561,0.521877483,0.004600012,0.820318896,1,61
GNQ,0.734950386,1.959896133,0.733220507,0.811235359,0.002359289,1.415940221,2,55
TTO,0.17045204,0.971945916,0.169772878,0.385285872,0.004000413,1.522661708,1,53
CXR,0.902671444,0.936801325,0.195339581,0.197043046,3.621037066,3.754297822,1,3
AIA,0.394882029,0.905863135,0.326486218,0.327107064,0.209490652,1.769316943,1,26
REU,0.205181918,0.970268212,0.203962514,0.525046358,0.005978571,0.84796675,1,46
MEX,5.586248071,9.569651736,4.46813892,7.62437626,0.250240463,0.255138966,14,257
NOR,18.2391312,42.20499769,17.43086108,26.88047454,0.046370063,0.570098683,43,234
DZA,3.166787211,8.856451002,3.020404631,4.88854343,0.048464559,0.811674813,9,191
